university,country,example_url
Universitas Negeri Surabaya,Indonesia,https://pendidikan-matematika.fmipa.unesa.ac.id/post/seri-tutorial-android-studio-bagian-3-logika-kotlin-menghidupkan-kalkulator
Universitas Nusa Putra,Indonesia,https://restikom.nusaputra.ac.id/article/download/471/219
Universitas Riau,Indonesia,https://jistdev.unri.ac.id/goto/2158O5P/161738230626/kotlin-in__action.pdf
Universitas Semarang,Indonesia,https://beasiswa.usm.ac.id/courses/kotlin-for-java-developers/
Waseda University,Japan,http://www.washi.cs.waseda.ac.jp/wp-content/uploads/2013/07/SEKE2013-Sakamoto-document.pdf
Applied Science University,Jordan,https://www.asu.edu.jo/ar/it/cs/Documents/%D9%84%D8%BA%D8%A9%20%D8%A8%D8%B1%D9%85%D8%AC%D8%A9%20%D9%85%D8%AE%D8%AA%D8%A7%D8%B1%D8%A9.pdf
Arab Open University,Jordan,https://www.aou.edu.jo/centers/training/Pages/trainingcourse-item.aspx?iid=6
German Jordanian University,Jordan,https://gju.edu.jo/news/gju-organizes-introductory-session-%E2%80%9Cjocodes-%E2%80%93-jordan-programmers%E2%80%9D-22150
Jadara University,Jordan,https://www.jadara.edu.jo/eng/departments.php?type=mod_profile&stid=10187&dptid=167
Riga Technical University,Latvia,https://stud.rtu.lv/rtu/discpub/printDiscEn.32103/RTC409_Introduction_to_Programming_Languages.pdf
Segi University College,Malaysia,https://colleges.segi.edu.my/kualalumpur/nothing-is-impossible-at-segi/
Tunku Abdul Rahman University of Management and Technology,Malaysia,https://eprints.tarc.edu.my/26087/
Universiti Kebangsaan Malaysia,Malaysia,https://ftsm.ukm.my/v6/public/assets/file/technicalreport/A197895_TReport.pdf
Universidad Michoacana de San Nicolás de Hidalgo,Mexico,https://umich.mx/courses/kotlin-for-java-developers/
Hogeschool Inholland,Netherlands,https://www.inholland.nl/media/20744/2021-folder-mobile.pdf
Utrecht University,Netherlands,https://studenttheses.uu.nl/handle/20.500.12932/48506
Vrije Universiteit Amsterdam,Netherlands,https://research.vu.nl/en/datasets/replication-package-for-how-does-migrating-to-kotlin-impact-the-r/
Universidad Nacional de Ingenieria,Nicaragua,https://posgrado.uni.edu.ni/cursos-de-especializacion/computacion-y-sistemas/programacion-con-kotlin/
Benson Idahosa University,Nigeria,https://biu.edu.ng/courses/kotlin-for-java-developers/
Obafemi Awolowo University Ile-Ife,Nigeria,https://cve.oauife.edu.ng/courses/kotlin-for-java-developers/
Dadabhoy Institute of Higher Education,Pakistan,https://dadabhoy.edu.pk/course-category/android-app/?tutor-course-filter-category=78
Zia-ud-Din University,Pakistan,https://zu.edu.pk/faculty-of-engineering-science-technology-management/college-of-computing-and-software-engineering/department-of-computer-science/bs-computer-science/
Universidad Nacional del Altiplano,Peru,https://ocni.unap.edu.pe/fetch.php/A11OYM/998698/Kotlin%20In%20Action%20Second%20Edition.pdf
Instituto Superior Politécnico Gaya,Portugal,https://ispgaya.pt/en/vida-academica/eventos/android-training-program
Universidade Lusófona de Humanidades e Technologias,Portugal,https://www.ulusofona.pt/en/lisboa/bachelor/it-engineering/ULP452-15892
Polytechnic University of Timisoara,Romania,https://tess.upt.ro/
Higher School of Economics,Russian Federation,https://www.hse.ru/en/edu/courses/1048891092
"Moscow State Institute of Radiotechnics, Electronics and Automation (Technical University)",Russian Federation,https://www.mirea.ru/news/v-rtu-mirea-sostoyalsya-master-klass-osnovy-razrabotki-servernykh-prilozheniy-na-java-kotlin-s-ispol/
St. Petersburg State Polytechnical University,Russian Federation,https://iccs.spbstu.ru/news/internet_gigant_google_sdelal_novuy_yazuk_programmirovaniya_kotlin_odnim_iz_osnovnuh_yazukov/
Université Cheikh Anta Diop,Senegal,https://homecoming.ucad.sn/book/141027/2299G5M/kotlin_programming-cookbook__explore-more__than-100__recipes_that-show__how__to__build__robust-le_and_web_applications__with__kotlin__spring-boot-and-android.pdf
Matej Bel University in Banská Bystrica,Slovakia,https://lms.umb.sk/mod/resource/view.php?id=123043&forceview=1
Universidad Politécnica de Valencia,Spain,https://www.upv.es/reports/rwservlet?g_doc+p_rep=049sZTu1iw8Cidb2Lya966Rr0UkvYsYo_vqIhNp%3DXaBZFazPoijJEkF1RPmlpywGCU9CCJNUpt0KppL2EIASzumzVJ_spqtNaze4wglU10oWA3L_pU%3A4G5LS8%3AEZBE9ir6475qbyfg6OMdmh4CRXj%3AtlqnA%3AwoNp530ZWip5w5LJ6S6LckckkT_52TEElfG0GPa1cIv%3Dmhh3dfm5Cr%3A4bKbRaSnQtf1%3ASLfMx%3Dj9gxR0ipe01dPr1kh3EtAARMRt%3A7FVbN5vNqIi2sF8pS8mzvcJtIp9YFZpL23iQtVmxs1T%3AUkEuuiRBvEB%3DzezP7Y2TztTNaLi62Vb4IGS26wXnZH3xUI8XNc8t.pdf
Universitat Oberta de Catalunya,Spain,https://campus.uoc.edu/tren/trenacc/web/GAT_EXP.PLANDOCENTE?any_academico=20221&cod_asignatura=22.603&idioma=ANG&pagina=PD_PREV_PORTAL
Kotelawala Defence University,Sri Lanka,https://library.kdu.ac.lk/virtual-reading-room-category.php?department=69
BFH - Bern University of Applied Sciences,Switzerland,https://www.bfh.ch/dam/jcr:e7cda6b2-7bc2-4ece-b4e0-a7ce349f8f85/BFH%20Study%20Offer%20in%20English_2026%20January.pdf
Hochschule Luzern,Switzerland,https://www.hslu.ch/de-ch/informatik/weiterbildung/technologies-and-methods/fachkurs-modern-programming-java
University of Geneva,Switzerland,https://gitlab.unige.ch/Loris.Agnolini/openweatherapp-kotlin/-/tree/master/app/src?ref_type=heads
