source,category,signal_tier,learning_type,title,provider,country,language,subtype,popularity,kotlin_confidence,url
university_website,university_page,primary,formal,Hello Kotlin!!! | Faculty of Informatics,University of Debrecen,Hungary,,,,0.8,https://inf.unideb.hu/en/news/hello-kotlin
university_website,university_page,primary,formal,Features in Modern Programming Languages,Amrita Vishwa Vidyapeetham,India,,,,0.8,https://www.amrita.edu/course/btech-features-in-modern-programming-languages/
university_website,university_page,primary,formal,faculty - Dr KARTHIKEYAN H - CHRIST UNIVERSITY,Christ University,India,,,,0.8,https://christuniversity.in/computer-science-and-engineering/faculty-details/MjQ5Mw==/NzI=
university_website,university_page,primary,formal,[PDF] As per Choice Based Credit System - DAV University,Dav University,India,,document,,0.8,https://davuniversity.org/images/files/2020/BCA_2020.pdf
university_website,university_page,primary,formal,Mechanical Engineering Colleges in Ahmedabad - Indus University,Indus University,India,,,,0.8,https://indusuni.ac.in/webinar-on-android-json-api-using-kotlin/
university_website,university_page,primary,formal,Dr. Rajesh Kumar Maurya - Mumbai - NMIMS Mathematics,Narsee Monjee Institute of Management Studies,India,,,,0.8,https://mathematics.nmims.edu/faculty-and-research/faculty/rajesh-kumar-maurya/
university_website,university_page,primary,formal,[PDF] btech-ce-syllabus-2025.pdf - PDEU,Pandit Deendayal Energy University,India,,document,,0.8,https://api.pdeu.ac.in/pdpu/resources/btech-ce-syllabus-2025.pdf
university_website,university_page,primary,formal,Android Study Jam | PES University,PES University,India,,,,0.8,https://news.pes.edu/10714/
university_website,university_page,primary,formal,Android Study Jams | PES University,PES University,India,,,,0.8,https://news.pes.edu/10481/
university_website,university_page,primary,formal,[PDF] CS-31: Mobile Application Development In Android Using Kotlin,Saurashtra University,India,,document,,0.8,https://qp.saurashtrauniversity.edu/PDF_DATAFILES/2022/BCA/MARCH/SEM-6/BCA%20SEM-6(2019)%20March-2022%20%20CS-31%20MOBILE%20APP.DEV.%20IN%20ANDROID%20USING%20KOTLIN.pdf
university_website,university_page,primary,formal,[PDF] CamScanner 11-08-2023 09.03 - Thiagarajar College of Engineering,Thiagarajar College of Engineering,India,,document,,0.8,https://tce.edu/sites/default/files/naac/criteria-1/1.4/feedback/Alumni/it-alumni.pdf
university_website,university_page,primary,formal,(Credits - 03) Android App Development with Kotlin Essentials,Visvesvaraya Technological University,India,,,,0.8,https://online.vtu.ac.in/v1/course-details/Credits-03-Android-App-Development-with-Kotlin-Essentials-App-development-Skills
university_website,university_page,primary,formal,Android App Development with Kotlin - online.vtu.ac.in. To,Visvesvaraya Technological University,India,,,,0.8,https://online.vtu.ac.in/v1/course-details/Android-App-Development-with-Kotlin
university_website,university_page,primary,formal,CIRCULAR – Nomination of Faculty for “Train the Trainer” ( TTT ...,Visvesvaraya Technological University,India,,,,0.8,https://vtu.ac.in/en/2020/07/18905/
university_website,university_page,primary,formal,Digital Library - Perpustakaan Digital - Digilib ITB,Institut Teknologi Bandung,Indonesia,,,,0.8,https://digilib.itb.ac.id/gdl/view_data/deteksi-bad-smell-code-kotlin-pada-aplikasi-android-menggunakan-program-structure-interface/?rows=758&per_page=161
university_website,university_page,primary,formal,Seri Tutorial Android Studio (Bagian 3: Logika Kotlin,Universitas Negeri Surabaya,Indonesia,,,,0.8,https://pendidikan-matematika.fmipa.unesa.ac.id/post/seri-tutorial-android-studio-bagian-3-logika-kotlin-menghidupkan-kalkulator
university_website,university_page,primary,formal,[PDF] Kotlin In Action,Universitas Riau,Indonesia,,document,,0.8,https://jistdev.unri.ac.id/goto/2158O5P/161738230626/kotlin-in__action.pdf
university_website,university_page,primary,formal,Kotlin Language for Java Developers - Beasiswa USM,Universitas Semarang,Indonesia,,,,0.8,https://beasiswa.usm.ac.id/courses/kotlin-for-java-developers/
university_website,university_page,primary,formal,SVILUPPO ANDROID E RETI 5G - polimi,Polytechnic Institute of Milan,Italy,,,,0.8,https://www.polimi.it/formazione/formazione-oltre-la-laurea/master-universitari-e-corsi-post-laurea/dettaglio-master/419
university_website,university_page,primary,formal,[PDF] Kotlin - Unibo,University of Bologna,Italy,,document,,0.8,https://dav.students.cs.unibo.it/laboratorio-di-applicazioni-mobili/lucidi/android/2024/03-kotlin.pdf
university_website,university_page,primary,formal,[PDF] Alma Mater Studiorum Università di Bologna Archivio istituzionale ...,University of Bologna,Italy,,document,,0.8,https://cris.unibo.it/bitstream/11585/950535/4/paper-2023-paams-kotlin-bdi%20%282%29.pdf
university_website,university_page,primary,formal,PROGRAMMING MOBILE - Genova - Corsi di Studio UniGe,University of Genoa,Italy,,,,0.8,https://corsi.unige.it/en/off.f/2025/ins/83915
university_website,university_page,primary,formal,COMPUTER TECHNOLOGIES ENGINEERING | University of Parma,University of Parma,Italy,,,,0.8,https://www.corsi.unipr.it/en/ugov/degreecourse/257589
university_website,university_page,primary,formal,Summary of Programmazione Avanzata - Kotlin e Android ... - UniTo,University of Turin,Italy,,,,0.8,https://master.i-learn.unito.it/course/info.php?id=156
university_website,university_page,primary,formal,Training Course Details - Arab Open University,Arab Open University,Jordan,,,,0.8,https://www.aou.edu.jo/centers/training/Pages/trainingcourse-item.aspx?iid=6
university_website,university_page,primary,formal,2017/2018 Semester : First ( Course Syll,Applied Science University,Jordan,,document,,0.8,https://www.asu.edu.jo/ar/it/cs/Documents/%D9%84%D8%BA%D8%A9%20%D8%A8%D8%B1%D9%85%D8%AC%D8%A9%20%D9%85%D8%AE%D8%AA%D8%A7%D8%B1%D8%A9.pdf
university_website,university_page,primary,formal,GJU Organizes an Introductory Session on the “JoCodes – Jordan ...,German Jordanian University,Jordan,,,,0.8,https://gju.edu.jo/news/gju-organizes-introductory-session-%E2%80%9Cjocodes-%E2%80%93-jordan-programmers%E2%80%9D-22150
university_website,university_page,primary,formal,Jadara University,Jadara University,Jordan,,,,0.8,https://www.jadara.edu.jo/eng/departments.php?type=mod_profile&stid=10187&dptid=167
university_website,university_page,primary,formal,CE385: MAD,Charotar University of Science and Technology,India,,,,0.8,https://sites.google.com/charusat.ac.in/mobile-application/home
university_website,university_page,primary,formal,"[PDF] RTU Course ""Introduction to Programming Languages""",Riga Technical University,Latvia,,document,,0.8,https://stud.rtu.lv/rtu/discpub/printDiscEn.32103/RTC409_Introduction_to_Programming_Languages.pdf
university_website,university_page,primary,formal,Nothing is Impossible at SEGi – SEGi College Kuala Lumpur,Segi University College,Malaysia,,,,0.8,https://colleges.segi.edu.my/kualalumpur/nothing-is-impossible-at-segi/
university_website,university_page,primary,formal,Bright Minds - Course Management Application,Tunku Abdul Rahman University of Management and Technology,Malaysia,,,,0.8,https://eprints.tarc.edu.my/26087/
university_website,university_page,primary,formal,[PDF] Copyright@FTSM UKM,Universiti Kebangsaan Malaysia,Malaysia,,document,,0.8,https://ftsm.ukm.my/v6/public/assets/file/technicalreport/A197895_TReport.pdf
university_website,university_page,primary,formal,Kotlin Language for Java Developers – UMSNH,Universidad Michoacana de San Nicolás de Hidalgo,Mexico,,,,0.8,https://umich.mx/courses/kotlin-for-java-developers/
university_website,university_page,primary,formal,Web Development - UMSNH,Universidad Michoacana de San Nicolás de Hidalgo,Mexico,,,,0.8,https://umich.mx/course_category/web-development/
university_website,university_page,primary,formal,[PDF] Mobile app development - Inholland,Hogeschool Inholland,Netherlands,,document,,0.8,https://www.inholland.nl/media/20744/2021-folder-mobile.pdf
university_website,university_page,primary,formal,[PDF] Mobile Development Course guide 2023-2024 - Inholland,Hogeschool Inholland,Netherlands,,document,,0.8,https://www.inholland.nl/media/g3epzbc4/haa-mobile-development-it-23-24.pdf
university_website,university_page,primary,formal,Understanding Concurrency Bugs in Real-World Programs with ...,Delft University of Technology,Netherlands,,,,0.8,https://research.tudelft.nl/en/publications/understanding-concurrency-bugs-in-real-world-programs-with-kotlin/
university_website,university_page,primary,formal,Use it or Lose it: A Kotlin Static Analysis for Identifying Unused Values,Utrecht University,Netherlands,,,,0.8,https://studenttheses.uu.nl/handle/20.500.12932/48506
university_website,university_page,primary,formal,"Replication package for ""How does Migrating to Kotlin Impact the ...",Vrije Universiteit Amsterdam,Netherlands,,,,0.8,https://research.vu.nl/en/datasets/replication-package-for-how-does-migrating-to-kotlin-impact-the-r/
